label,youtube_id,time_start,time_end,split
folding paper,A6urvPmqF9c,150,160,train
taking a shower,A6v-4Erts-8,214,224,train
robot dancing,A6yOjfJ3sJQ,3,13,train
spray painting,A70FpphZXvQ,7,17,train
hitting baseball,A70OOLsTHfE,2,12,train
playing paintball,A71X4X7EV2A,37,47,train
eating burger,A73ayYP-BwI,27,37,train
yoga,A74BpTDeovU,107,117,train
cooking egg,A75NH9qrZr4,47,57,train
roller skating,A771ZbKNedw,19,29,train
grinding meat,A771vXbEJdM,21,31,train
high kick,A77SpYVvfKE,4,14,train
playing clarinet,A79-HCNzCfY,453,463,train
setting table,A7AMMFWCCDU,5,15,train
playing organ,A7Ay9ClCiVE,57,67,train
driving tractor,A7BlaUteFvo,9,19,train
marching,A7Cf3Qk7kZQ,110,120,train
welding,A7D-k7mUlo4,44,54,train
hitting baseball,A7DyOM2S7cc,0,10,train
springboard diving,A7Gk0xmmMlg,1,11,train
sharpening knives,A7Gxx0Uiij4,49,59,train
sharpening pencil,A7H1uqX7bfA,250,260,train
tapping guitar,A7Hh5viYARY,111,121,train
capoeira,A7Jegi78dZw,33,43,train
waiting in line,A7KLO-qYx_Y,15,25,train
yoga,A7Kgq4Eh49A,63,73,train
crawling baby,A7LIbQWBI9Q,49,59,train
pumping gas,A7LVQDTDR6g,38,48,train
making a cake,A7MYnEq67QY,14,24,train
weaving basket,A7OE96aThQA,0,10,train
push up,A7PlyD4IUeA,21,31,train
dancing ballet,A7Sa-1o2sZc,88,98,train
pole vault,A7T6NfOc-6U,1,11,train
setting table,A7Th1TrWh8U,86,96,train
smoking,A7VqLJ-EA3w,395,405,train
waxing eyebrows,A7W4RsmrEEc,20,30,train
bee keeping,A7XbQbnqRBo,617,627,train
shaking hands,A7YuFCdiBs8,0,10,train
braiding hair,A7_DrFwp3wI,194,204,train
using computer,A7beSq78Hqc,43,53,train
jumpstyle dancing,A7bl5s6yIZU,95,105,train
playing harp,A7dlkiGaJv0,80,90,train
planting trees,A7dnbPSL8h8,332,342,train
egg hunting,A7e-dm6zf6k,26,36,train
motorcycling,A7eAmz2Q1Cs,430,440,train
tap dancing,A7fvumwhdFk,127,137,train
eating carrots,A7gVdeqx2ow,22,32,train
auctioning,A7hRw-ZEJUs,52,62,train
checking tires,A7i3IAmswuQ,26,36,train
juggling balls,A7jJ0uoybo4,190,200,train
smoking,A7pIndejnQ8,16,26,train
swimming backstroke,A7qpfzbpp64,58,68,train
hammer throw,A7s8uidtFro,0,10,train
jetskiing,A7sFFnZ1ugE,8,18,train
drumming fingers,A7slEpO9Tzw,114,124,train
crossing river,A7v-H0kTILA,2,12,train
headbutting,A7vRmKxWe38,9,19,train
brushing teeth,A7vdOJpUd0w,15,25,train
tango dancing,A7wyBQPh7CA,91,101,train
swimming butterfly stroke,A7xOaBJGXTc,30,40,train
crossing river,A7yD8KuWf6s,16,26,train
playing trombone,A808QjCJw20,143,153,train
feeding fish,A80U1rMaeWE,1,11,train
playing tennis,A81NcCk5rDU,52,62,train
playing organ,A82abMNY0t8,46,56,train
shuffling cards,A82gcFvSC1w,10,20,train
flying kite,A84y8tl1eaA,46,56,train
waxing legs,A85SjzBCr5Y,13,23,train
smoking hookah,A865YikiKjY,18,28,train
smoking hookah,A8AOjHX8T6Y,4,14,train
trimming trees,A8AXlyqBfW0,109,119,train
hammer throw,A8AmqP62Drc,2,12,train
digging,A8DgyJJXV0I,4,14,train
playing violin,A8ELs7XacK4,69,79,train
shaking head,A8Ebb1KqEWE,0,10,train
hurling (sport),A8FWl7y6gVA,200,210,train
skiing crosscountry,A8GKDao4b-w,18,28,train
drop kicking,A8IpW0ErtN0,1,11,train
eating burger,A8LTxJgRKbA,136,146,train
playing volleyball,A8NAj6NQ5vM,1,11,train
waxing back,A8NDa5KNtPw,8,18,train
petting animal (not cat),A8O2qab4w4U,46,56,train
pushing cart,A8Ofeqspyvc,1,11,train
tying tie,A8QgVyFcLcU,37,47,train
push up,A8SWnqv9u5c,45,55,train
cleaning shoes,A8VVFTrE6iQ,0,10,train
cooking chicken,A8VfWSdgrIc,290,300,train
snatch weight lifting,A8VulkexrSg,1,11,train
tying bow tie,A8WxqlB_yUs,96,106,train
swimming backstroke,A8aecRuEtXg,33,43,train
cleaning gutters,A8b217OU04A,17,27,train
crossing river,A8bEsF3JnTU,37,47,train
riding a bike,A8c2fWVBm1o,14,24,train
folding paper,A8ceHmOwEr0,0,10,train
shooting goal (soccer),A8dcCKBDQjo,288,298,train
abseiling,A8j3w3OWe4c,117,127,train
canoeing or kayaking,A8jKo4cUxlM,81,91,train
dancing gangnam style,A8jmSPUYUfM,17,27,train
eating chips,A8mPQb9t4Z8,193,203,train
riding elephant,A8mg7YmQrnc,57,67,train
cheerleading,A8n6iTJ9ADk,146,156,train
barbequing,A8nVkKSy1bo,7,17,train
driving car,A8nnPsAwz3k,7,17,train
snorkeling,A8nqtcY_9bo,3,13,train
canoeing or kayaking,A8oSXI605UQ,44,54,train
peeling apples,A8qozQJMD6A,7,17,train
tying knot (not on a tie),A8rPK1Ivl14,47,57,train
tapping pen,A8rXwcLOaO0,31,41,train
giving or receiving award,A8sD9I-l2yg,1836,1846,train
playing tennis,A8soiGkEJEg,10,20,train
dying hair,A8tN_Mn-UHw,220,230,train
folding paper,A8uImEhZttQ,7,17,train
cartwheeling,A8vYwE9IO-Y,1,11,train
passing American football (not in game),A8w6AdTQetQ,6,16,train
smoking hookah,A8wjsOpUrEE,202,212,train
juggling balls,A8xEIs1RQJs,7,17,train
pushing car,A8xwPL7osV4,0,10,train
sled dog racing,A8y4ChhIQa0,3,13,train
riding camel,A8z7FV3niN8,61,71,train
riding or walking with horse,A90KUnA4YIM,17,27,train
extinguishing fire,A92EEkk2S8U,5,15,train
skiing (not slalom or crosscountry),A92ebyfcSlI,173,183,train
chopping wood,A933SY-LUBI,2,12,train
cooking chicken,A94UKFeSWo8,232,242,train
playing trumpet,A99UOy0jnOY,1,11,train
hurling (sport),A9BoHN-75rQ,73,83,train
tapping guitar,A9BubPJBHms,47,57,train
punching bag,A9FuS6tp8iQ,2,12,train
tapping guitar,A9Id1gMZsQk,0,10,train
diving cliff,A9JBhaE_rJg,22,32,train
playing violin,A9JbDqPm-ZM,26,36,train
pushing car,A9M3tTG7QP4,6,16,train
playing cello,A9PjyC1I7sY,16,26,train
playing harmonica,A9T71QLYZ1I,201,211,train
surfing water,A9TZ3rfvS6k,423,433,train
swinging legs,A9TbWiXCUVs,9,19,train
playing squash or racquetball,A9U1v5pZvBc,218,228,train
waxing eyebrows,A9Vk38iR98g,19,29,train
finger snapping,A9VulKwOEPM,1,11,train
playing monopoly,A9Wr1oIjkfU,12,22,train
rock climbing,A9XJ6iZG-wc,145,155,train
marching,A9Ybf9z1Kjk,1,11,train
cutting nails,A9Zr6wL_bso,52,62,train
peeling apples,A9ZxDPDxBcA,7,17,train
chopping wood,A9a3yw0I-9E,5,15,train
playing kickball,A9cNfGrMIh4,52,62,train
water sliding,A9coupgY-zk,2,12,train
scrambling eggs,A9eTzwbtMhE,148,158,train
front raises,A9f-LGlt0Ds,0,10,train
cleaning floor,A9f6c3a87ks,75,85,train
hurdling,A9flmKPeJzY,42,52,train
knitting,A9fmjq_-t4Y,53,63,train
cheerleading,A9fsA4WYqQM,157,167,train
marching,A9gVZ0msEug,143,153,train
dancing ballet,A9gbVvI9oxQ,110,120,train
celebrating,A9hVymoXX_0,444,454,train
dying hair,A9lRkfvOGH4,95,105,train
playing saxophone,A9m39s8mKoU,43,53,train
sneezing,A9mK7kVnBe4,3,13,train
squat,A9nfm7dYr58,30,40,train
squat,A9ny0YxpT5Y,50,60,train
feeding fish,A9oOKMud2gs,12,22,train
clean and jerk,A9pFZZPCPXs,1,11,train
folding clothes,A9rFEFr0E7E,11,21,train
checking tires,A9sikppXYZ4,29,39,train
walking the dog,A9uNV58qHSs,199,209,train
gymnastics tumbling,A9vUaKXfpPs,6,16,train
shearing sheep,A9wnOyA83Cw,78,88,train
pole vault,A9zXgvdG3Mo,20,30,train
making a cake,A9zoKZuW68U,11,21,train
golf putting,A9zt_DLPGu8,77,87,train
eating burger,AA-ZLdnX1mA,60,70,train
biking through snow,AA-vL9UsRIQ,65,75,train
bandaging,AA2FLXDCtyc,2,12,train
swimming breast stroke,AA2eRtTWRKI,26,36,train
grooming horse,AA7_zdhW74k,19,29,train
passing American football (in game),AA7sLtHyKgk,3,13,train
tobogganing,AA8UC0P9dKY,19,29,train
sword fighting,AA8XeTJKZfA,252,262,train
catching or throwing baseball,AAAwcD5LeQ0,17,27,train
barbequing,AACndaE5BC4,27,37,train
washing dishes,AADCIlca3Rw,15,25,train
walking the dog,AAFQR8ONplA,105,115,train
crossing river,AAJVwwenh74,0,10,train
snowboarding,AALnk50jEVc,46,56,train
grooming horse,AALpuhw0KIQ,173,183,train
unloading truck,AANxVuDPMhA,125,135,train
flipping pancake,AAPCBudAyOM,4,14,train
playing tennis,AAR9Hxsyo-E,33,43,train
folding napkins,AAROJBfexsA,13,23,train
playing bass guitar,AAW6ICAvGRA,0,10,train
jumpstyle dancing,AAWaE9xgF3M,7,17,train
dodgeball,AAYpf4kvViE,221,231,train
ice skating,AAZms7-AH34,18,28,train
dying hair,AAZojG_wKWI,116,126,train
riding or walking with horse,AAZzcccsKmo,47,57,train
scrambling eggs,AA_7vSuha-0,50,60,train
baking cookies,AA_E3z94Kdk,585,595,train
pushing car,AAaEz_y6Tfw,10,20,train
knitting,AAaTCPwddsA,70,80,train
sniffing,AAbFWuj6Gfs,77,87,train
crossing river,AAbJy9pA9fU,0,10,train
throwing ball,AAd08h9zLkw,0,10,train
snowboarding,AAdYpN4DRh4,157,167,train
milking cow,AAfJMDOPD0I,23,33,train
milking cow,AAfJawzLYN0,27,37,train
barbequing,AAg9Od_eIFM,7,17,train
eating cake,AAgHrF5okEA,13,23,train
smoking,AAgfshyOKQ4,121,131,train
washing hands,AAh4l_z6nb8,3,13,train
bowling,AAhJae6WP2I,0,10,train
changing oil,AAhlyn_yHiY,15,25,train
flying kite,AAhx1sarmf0,2,12,train
ripping paper,AAl6YZ6czoE,8,18,train
peeling potatoes,AAo4WNaiAZ8,56,66,train
massaging person's head,AApM9UJuIag,57,67,train
driving car,AAuKth6jO9c,3,13,train
country line dancing,AAuduYqn2lw,0,10,train
skateboarding,AAvRF11l0lA,21,31,train
capoeira,AAwwMjKMtOo,147,157,train
springboard diving,AAyzObKNsPE,117,127,train
bookbinding,AAzesBYlGAo,159,169,train
peeling potatoes,AB57erm9PJQ,15,25,train
windsurfing,AB6hhVqPDsw,19,29,train
playing kickball,AB7E2rb5NJA,110,120,train
playing ice hockey,AB9-HCRRvEs,45,55,train
water sliding,ABBkjVxoJo4,5,15,train
spinning poi,ABCJVJWbiHk,14,24,train
watering plants,ABDBOrqfe6o,2,12,train
salsa dancing,ABEhLycETyA,126,136,train
ice skating,ABErK45kQBI,81,91,train
cooking chicken,ABF6eVpivag,285,295,train
salsa dancing,ABFr19c7oXM,10,20,train
washing feet,ABGbFvjkAxw,232,242,train
tasting food,ABHu14fYywo,9,19,train
pole vault,ABIBhvHPmE0,8,18,train
playing poker,ABIMfA1vh5Q,66,76,train
windsurfing,ABJVCVJLUP4,60,70,train
country line dancing,ABJlG-Wn1v4,67,77,train
exercising with an exercise ball,ABL0QL6Wmuk,17,27,train
sniffing,ABL0SeBamZM,35,45,train
yoga,ABLz46MVs7A,59,69,train
filling eyebrows,ABNaUxawMeY,408,418,train
high kick,ABPHq7ZBrOA,20,30,train
salsa dancing,ABQCJu8FtK0,224,234,train
opening present,ABRCvgZSOFM,105,115,train
golf putting,ABRPRW6JdsY,99,109,train
drop kicking,ABRsJiFVlsk,1,11,train
decorating the christmas tree,ABS6OAAZVkk,25,35,train
zumba,ABTV6jPbWO8,69,79,train
abseiling,ABVY2X5gybE,210,220,train
diving cliff,AB_y-Cse76w,311,321,train
catching or throwing frisbee,ABb3udIt5EU,9,19,train
playing trombone,ABb4x-N4xtQ,496,506,train
pushing car,ABbuCPXoud0,1,11,train
waxing chest,ABcPG8h0c1M,1,11,train
shearing sheep,ABdpLYAmeR0,0,10,train
yoga,ABdqSNwrSj0,33,43,train
ice skating,ABeGBBFbWFk,0,10,train
triple jump,ABewV3stCUI,14,24,train
cartwheeling,ABgYDosePwo,30,40,train
archery,ABiNy36nImw,146,156,train
opening bottle,ABiegGm7yA8,5,15,train
filling eyebrows,ABn-6yegBeY,257,267,train
dancing macarena,ABnlyF8wLY0,13,23,train
playing recorder,ABp_vMIxmxc,70,80,train
playing trombone,ABsX8xJdX0k,513,523,train
contact juggling,ABwvuvGVYAo,1,11,train
headbutting,AC04lFm33r0,0,10,train
high kick,AC2YImCSXfo,23,33,train
tobogganing,AC4-yQOeAgU,3,13,train
folding paper,AC4h2-7ALuA,95,105,train
throwing ball,AC55zkfTFbw,3,13,train
ironing,AC5DA9UYdvE,187,197,train
rock climbing,AC5Hj3zQ1ec,0,10,train
jumping into pool,AC6e4ypq2E8,33,43,train
crying,AC8WadAnqsg,20,30,train
swinging on something,AC8zI85la54,66,76,train
waxing chest,ACC5S8bBttc,70,80,train
petting animal (not cat),ACC6IOgfXSo,7,17,train
playing harmonica,ACFT83RGF7g,26,36,train
playing harmonica,ACFTfmcDrBQ,4,14,train
bungee jumping,ACFndTrPxlo,34,44,train
playing trombone,ACGUPmAEekA,3,13,train
biking through snow,ACGjP_YL6d0,70,80,train
chopping wood,ACGxueM7dhE,27,37,train
feeding fish,ACHQ0KP6YcY,6,16,train
hopscotch,ACHqwmjKU7c,3,13,train
petting animal (not cat),ACHscMzViK0,211,221,train
playing xylophone,ACHuHQgocg0,69,79,train
laying bricks,ACLBBzzonE4,135,145,train
ski jumping,ACMDSxtxJ7U,104,114,train
playing cricket,ACPJtgrT8b4,6,16,train
pumping fist,ACUT-_cxF9s,12,22,train
balloon blowing,ACVI7Y8i8rE,371,381,train
crossing river,ACWl8x_P1VI,30,40,train
climbing tree,ACXXWoUapOk,59,69,train
reading book,ACXjiUwzBD4,23,33,train
golf putting,ACY63dsmTVc,73,83,train
contact juggling,ACaQkyHdwMQ,59,69,train
blasting sand,ACbTezZB6QU,199,209,train
making pizza,ACbYUgf6lQg,24,34,train
dunking basketball,ACcF8PRe3hE,29,39,train
dining,ACcOMIr8CLE,197,207,train
peeling apples,ACd5y9kC6Pg,68,78,train
playing ice hockey,ACdmYTq3HU4,54,64,train
riding camel,ACfPSTVnF3E,20,30,train
eating ice cream,ACgAJCAuGbY,23,33,train
long jump,ACgrCBn-2lU,3,13,train
tango dancing,AChN-o5lltw,514,524,train
blowing glass,AChQFTJETq8,381,391,train
riding or walking with horse,AChSmDvqbhs,0,10,train
dancing ballet,AChldN5F28g,69,79,train
parkour,ACiEuwVXKsg,40,50,train
eating burger,ACjqSZUcHlc,8,18,train
playing saxophone,ACkUO7zVt6Y,83,93,train
hammer throw,AClfn0GT4kk,10,20,train
recording music,ACnAUswsTZk,88,98,train
feeding goats,ACrkESzeqZk,89,99,train
shoveling snow,ACs3ZLIe_LM,23,33,train
folding napkins,ACsKBTMl6nQ,79,89,train
dancing macarena,ACtJ1cpGun0,0,10,train
playing badminton,ACw_7Oel5Lc,1,11,train
using computer,ACwt_ynDrh8,54,64,train
strumming guitar,AD-3aDT9sjc,90,100,train
folding clothes,AD-DtCVbVDQ,44,54,train
playing badminton,AD0jGE3JSM0,22,32,train
breading or breadcrumbing,AD1DBe0tryA,38,48,train
contact juggling,AD3fjuUrlXk,249,259,train
eating chips,AD56DO7BExg,144,154,train
driving car,AD5fzv975uI,71,81,train
flipping pancake,AD8AT-yJXPA,3,13,train
sled dog racing,ADBGN44b52A,29,39,train
zumba,ADE8QOyqnFQ,48,58,train
zumba,ADFgTDb36eM,20,30,train
zumba,ADGARq1OMGE,150,160,train
marching,ADGH8ZWS62U,168,178,train
folding paper,ADJ1f7KZbvg,160,170,train
peeling apples,ADJER0RolC8,6,16,train
riding camel,ADJWybYhV00,119,129,train
counting money,ADKx_hd3QMg,4,14,train
using computer,ADLlRnSUfBI,0,10,train
breading or breadcrumbing,ADMYsWxuGnk,113,123,train
dancing charleston,ADNTLM6KMKo,194,204,train
hurling (sport),ADRzs1qEVwI,103,113,train
auctioning,ADS5lHWCpAY,283,293,train
blowing glass,ADSqX2Qdmkk,1,11,train
abseiling,ADTM56wuhKk,1,11,train
texting,ADX9gSvLum8,37,47,train
walking the dog,ADYK3hx3xaM,9,19,train
yawning,ADa0jTvBJkU,108,118,train
flying kite,ADbrsDJw68s,1,11,train
petting cat,ADegEC7IYwg,43,53,train
playing keyboard,ADfeqNl13PE,6,16,train
throwing discus,ADfoSUn-lXs,6,16,train
windsurfing,ADft_saqTiM,24,34,train
skiing slalom,ADg2C7n2ZOI,82,92,train
reading book,ADgD-6mdTd0,20,30,train
spray painting,ADgNM5MNC0A,49,59,train
punching person (boxing),ADgqA-UOOT0,50,60,train
shaking head,ADiF2vn4m84,15,25,train
extinguishing fire,ADiz5VMgZWI,379,389,train
playing guitar,ADrZM3sk_2w,0,10,train
golf chipping,ADujNYQ7EYM,31,41,train
throwing discus,ADuuPcPTHuk,1,11,train
crossing river,ADvcr4hM17U,4,14,train
yoga,ADvd2_S6uTo,2947,2957,train
playing didgeridoo,ADxlzLXFOVQ,19,29,train
scrambling eggs,ADyjBl8zQvU,186,196,train
cleaning floor,ADzB-RTmLJU,4,14,train
pull ups,AE-fK3eqiD4,0,10,train
ice skating,AE0UAMauj3k,48,58,train
jumpstyle dancing,AE0p0mLEkiY,24,34,train
swing dancing,AE3_Qys5pCo,66,76,train
marching,AE94Y1Mtj9A,534,544,train
presenting weather forecast,AE9KlzBqbRk,260,270,train
vault,AE9Stm2vU3Y,2,12,train
changing oil,AEALdkyy_jg,41,51,train
golf putting,AECMH-hrQeA,101,111,train
playing basketball,AECTL8scCPU,2,12,train
shoveling snow,AEDd5jcW62U,44,54,train
passing American football (not in game),AEHbFBQcBLE,7,17,train
strumming guitar,AEHo6-Kskkw,85,95,train
waxing back,AEIHfR3HfxE,30,40,train
climbing tree,AEIzV3tu-Nc,0,10,train
brushing teeth,AEJ1mZXP_Zg,21,31,train
golf chipping,AEKF2Qac0Xs,3,13,train
ice climbing,AEKPDsfMgEc,1,11,train
changing oil,AEQDkOPK14k,8,18,train
folding napkins,AERleRwxink,45,55,train
water skiing,AESxtE0CU04,1,11,train
trimming or shaving beard,AESyUDTPwAY,394,404,train
playing cricket,AEU434yUEUQ,46,56,train
dunking basketball,AEUv8von8sA,10,20,train
stretching leg,AEVvBaoCJF4,45,55,train
dining,AEWEXt5tTmw,3473,3483,train
brushing hair,AEZ8oXVxtXs,65,75,train
running on treadmill,AEalgHOI3jM,2,12,train
getting a tattoo,AEirIiVmoX4,278,288,train
playing guitar,AEkWxC5b4Bo,18,28,train
brushing hair,AEkjKfoRK0Q,7,17,train
writing,AEkjt-8_gMA,416,426,train
cooking egg,AEmmD1tgdWs,204,214,train
carrying baby,AEmsx7Bpd14,10,20,train
snowboarding,AEtSR0Gh7ZM,35,45,train
jogging,AEw6CTalwzw,18,28,train
tai chi,AEwbXX6kxOo,89,99,train
bartending,AEx6ajEeGVg,127,137,train
catching or throwing frisbee,AEyI3BI_HC4,15,25,train
triple jump,AF-TdqoEmhM,6,16,train
brushing teeth,AF-w1RcbsQ8,15,25,train
frying vegetables,AF76I-1B-nA,40,50,train
brushing hair,AF79fdkjLQw,135,145,train
water sliding,AF90hJfbSqE,42,52,train
blowing out candles,AFAGB0KL38s,12,22,train
belly dancing,AFAsitPJSrc,485,495,train
massaging legs,AFC1j-P9YfI,266,276,train
juggling balls,AFDuFJbYHIw,26,36,train
brushing hair,AFEbZCuVCZs,5,15,train
pushing car,AFG8JAvO368,15,25,train
golf chipping,AFGOksLLu6Y,61,71,train
arranging flowers,AFH7whmTPrE,137,147,train
cooking chicken,AFI7967kNus,266,276,train
dancing macarena,AFOA-p3S0gI,34,44,train
bouncing on trampoline,AFOP-RxKc2E,5,15,train
shot put,AFSa42arImc,3,13,train
bungee jumping,AFTAqr_MsRI,59,69,train
windsurfing,AFTMgzspZJA,2,12,train
rock climbing,AFTnoJFkVB0,113,123,train
shaving head,AFTtKcqjbSQ,119,129,train
whistling,AFZPV676MPg,167,177,train
playing guitar,AFZrddUr3Wc,0,10,train
playing harmonica,AF_BigLCvfo,64,74,train
welding,AF_RxllG4mU,16,26,train
waxing legs,AF_tMVvaecY,3,13,train
somersaulting,AF_uU-rtG2c,171,181,train
throwing discus,AFbVLfRfEbE,4,14,train
triple jump,AFcW1HL7kIw,216,226,train
pushing car,AFi_jFCZQDM,89,99,train
swinging legs,AFju9eIQxks,1,11,train
archery,AFlAuv3Ogb8,0,10,train
skiing slalom,AFlaePKwFgc,41,51,train
playing clarinet,AFlyEIjXY_o,136,146,train
blowing out candles,AFmd_8uoaXs,92,102,train
clean and jerk,AFmhNhTaYLQ,14,24,train
canoeing or kayaking,AFmi3aZ9ByQ,155,165,train
sneezing,AFmjZ2q-fOo,7,17,train
busking,AFmkv8gWqLY,28,38,train
playing cricket,AFmlJ06Ea1U,21,31,train
playing cards,AFo0bd4J1dw,84,94,train
peeling apples,AFoQTEp-ByA,2,12,train
playing trombone,AFqM_IaSK8I,0,10,train
mowing lawn,AFtBsIjJP88,30,40,train
chopping wood,AFtDzgNOThQ,123,133,train
snowkiting,AFuD2YxbWaM,145,155,train
side kick,AFuI3mJY8J8,3,13,train
dribbling basketball,AFuaoYuuhnQ,30,40,train
spinning poi,AFvT0N5q0TM,12,22,train
swimming breast stroke,AFwyJ1BHSg4,11,21,train
texting,AFyPPLWUJyA,104,114,train
snowkiting,AFzNPfjQYyY,148,158,train
tasting food,AG1d-W4VsNY,220,230,train
bouncing on trampoline,AG2REZFQ4D0,113,123,train
extinguishing fire,AG37ivEungg,349,359,train
washing feet,AG5l1W_40lg,151,161,train
climbing tree,AG6wUB_zFvI,56,66,train
feeding goats,AG7mtWysGcg,3,13,train
eating burger,AG7rHLw-ckU,301,311,train
push up,AG89mHY2_Ww,37,47,train
skateboarding,AG8Ch9NZWC0,155,165,train
milking cow,AGA8uvaHptE,134,144,train
eating ice cream,AGAFht4oxvU,15,25,train
spray painting,AGAwfiRiMos,0,10,train
sharpening pencil,AGCfVycYdtI,270,280,train
clapping,AGDDRy8ZBgo,3,13,train
playing ukulele,AGEEAStPKkE,42,52,train
playing clarinet,AGFHvNwP09k,71,81,train
bandaging,AGFPC2cwxIs,52,62,train
surfing water,AGIB8ytpqX4,21,31,train
throwing ball,AGJ6cH6Q6lA,1,11,train
salsa dancing,AGJsyWGNWGg,68,78,train
setting table,AGK7uWvvz-U,278,288,train
playing didgeridoo,AGLCxmT01u0,0,10,train
hockey stop,AGMS46roaAU,5,15,train
walking the dog,AGN8wolbtTA,212,222,train
drinking beer,AGROvDMGIyI,21,31,train
punching bag,AGRsceljPOg,142,152,train
long jump,AGS59bVwqvc,1,11,train
cutting watermelon,AGUASZftBfY,28,38,train
surfing water,AGVTLzvkD3Y,34,44,train
sword fighting,AGW-wp4xbPU,666,676,train
holding snake,AGWBifcPfE8,8,18,train
breading or breadcrumbing,AGWuRDju1n4,500,510,train
walking the dog,AGXfIssaIQ0,6,16,train
shaking hands,AGYXHK0K_ug,42,52,train
jumping into pool,AGaCbzCtp1U,10,20,train
playing clarinet,AGcApwXsva8,204,214,train
cleaning windows,AGdvAHNjGvk,55,65,train
exercising arm,AGg9WfMdshA,1,11,train
riding mountain bike,AGgoZJMwBVY,3,13,train
headbutting,AGh2xwkf-ZA,1,11,train
air drumming,AGiIVOVXrDI,33,43,train
getting a tattoo,AGj9KofNBuY,144,154,train
snorkeling,AGlN83jo-_g,42,52,train
catching or throwing frisbee,AGmZm42lHPc,2,12,train
passing American football (not in game),AGnSy2VWex0,2,12,train
applying cream,AGoBiL-sAxQ,18,28,train
spinning poi,AGodxOeD1m4,9,19,train
ice skating,AGr-ssrQvVo,56,66,train
giving or receiving award,AGr1wTOSX5Y,6,16,train
jumpstyle dancing,AGrDFRDmcVM,24,34,train
bandaging,AGs9pefx9zw,55,65,train
dancing macarena,AGsxb9Hgww8,209,219,train
jumpstyle dancing,AGtOZzNauUo,91,101,train
lunge,AGwtsXfQVwE,68,78,train
dancing macarena,AGygZ2T5lAE,4,14,train
tap dancing,AGzDx33Cj_w,145,155,train
extinguishing fire,AGzN-0NW_QQ,1,11,train
cleaning floor,AH-tm_e0PZY,108,118,train
catching or throwing softball,AH1freBkzic,17,27,train
dancing ballet,AH4GMGCCJ4U,165,175,train
high jump,AH8520JXcqQ,0,10,train
balloon blowing,AH8HbAS87jk,8,18,train
waxing legs,AH8fuUVKfrc,10,20,train
opening bottle,AHAPRkTY-QE,125,135,train
playing cello,AHB4l1Ut6jc,172,182,train
getting a haircut,AHCoSFxkJvQ,21,31,train
balloon blowing,AHDHlg-uQfc,43,53,train
braiding hair,AHEA3u35xr8,80,90,train
headbutting,AHEEPQcWxEM,38,48,train
playing harmonica,AHEGXPJIzA8,3,13,train
snorkeling,AHEPT-Z9jq8,106,116,train
driving car,AHEYvJWTDnk,246,256,train
hugging,AHElXoJw9N8,16,26,train
picking fruit,AHJJK8F9ObY,66,76,train
smoking hookah,AHJoy9MxZ2Q,8,18,train
archery,AHKwPDzOcJQ,86,96,train
cleaning toilet,AHO127gcNNs,25,35,train
rock climbing,AHOp_Wn3Ekg,17,27,train
peeling apples,AHQBwL6PIms,0,10,train
playing drums,AHR7QMi4C90,105,115,train
feeding birds,AHT04ogMBk4,13,23,train
bee keeping,AHZEbyMEj8w,20,30,train
eating cake,AH_Mjp7Es9M,53,63,train
folding clothes,AHb8ICCo_MU,4,14,train
throwing ball,AHdXIq4MMsg,6,16,train
diving cliff,AHePTX_4lmY,2,12,train
taking a shower,AHezdVxbi7M,279,289,train
reading newspaper,AHfOHtO1tWk,72,82,train
high jump,AHfYxaIQcyo,3,13,train
brushing teeth,AHfwkfDtPog,12,22,train
eating burger,AHfxmYZ81VI,85,95,train
snowboarding,AHiC9ZXHPps,123,133,train
pumping fist,AHji-juuGU0,44,54,train
riding mule,AHjuPao-dl4,5,15,train
cutting nails,AHlQNwkYzWw,74,84,train
playing saxophone,AHlTxmVlwaY,16,26,train
punching bag,AHmfJMLX60s,20,30,train
riding elephant,AHqarcyYlYg,5,15,train
golf putting,AHrI6gmmxK8,36,46,train
applauding,AHrhK327SDQ,3,13,train
curling hair,AHribeIOxgc,80,90,train
massaging person's head,AHrpCeDTHvw,102,112,train
cleaning windows,AHv_WE79eWY,19,29,train
side kick,AHvlHanAl8Y,4,14,train
biking through snow,AHwGf-Ctm2c,372,382,train
pull ups,AHwJMCXiM60,27,37,train
cartwheeling,AHy2285FiCQ,11,21,train
playing clarinet,AHybRhQTa94,418,428,train
cutting nails,AHzXa5TG5tY,22,32,train
making snowman,AHzwmaVV5pU,8,18,train
spinning poi,AI1lljFOlpY,7,17,train
shaving legs,AI2rGY3QNf0,3,13,train
cheerleading,AI4Of88-Dt0,0,10,train
jetskiing,AI4_i1pWqJg,37,47,train
playing cricket,AI5AdZPPCMA,57,67,train
playing cricket,AI5bUuPVrPA,14,24,train
motorcycling,AI9kYABHJpI,63,73,train
slacklining,AIAng5mIAVM,0,10,train
massaging back,AIBXxLuVoXw,335,345,train
jetskiing,AID42cUMhdw,191,201,train
robot dancing,AID7ybe4N04,73,83,train
dodgeball,AIEZGTfXen0,33,43,train
riding scooter,AIF6w2r45X4,20,30,train
jetskiing,AIIgsxaTleA,134,144,train
taking a shower,AIJaOr89wxU,24,34,train
playing cello,AIL6_Dt2K0E,55,65,train
faceplanting,AIM2jEdXsbo,0,10,train
hammer throw,AIM95az_AAo,3,13,train
